team,confederation,fifa_ranking,elo_rating,wc_appearances,wc_titles,best_finish,last_wc_appearance,goals_all_time,matches_all_time
Argentina,CONMEBOL,3,1880,18,3,Winner,2022,137,88
Brazil,CONMEBOL,5,1840,22,5,Winner,2022,229,114
Germany,UEFA,8,1810,20,4,Winner,2022,232,112
France,UEFA,2,1890,16,2,Winner,2022,120,73
Spain,UEFA,1,1900,16,1,Winner,2022,99,67
England,UEFA,4,1865,16,1,Winner,2022,91,72
Uruguay,CONMEBOL,10,1780,14,2,Winner,2022,87,59
Netherlands,UEFA,7,1820,11,0,Runner-up,2022,90,54
Portugal,UEFA,4,1870,8,0,3rd Place,2022,42,41
Belgium,UEFA,6,1830,14,0,3rd Place,2022,59,51
Croatia,UEFA,12,1760,6,0,Runner-up,2022,30,29
Mexico,CONCACAF,14,1752,17,0,Quarter-final,2022,60,60
Colombia,CONMEBOL,9,1790,6,0,Quarter-final,2018,28,23
Japan,AFC,15,1745,7,0,Round of 16,2022,26,27
Morocco,CAF,13,1755,6,0,4th Place,2022,18,20
South Korea,AFC,23,1680,11,0,4th Place,2022,38,37
Switzerland,UEFA,18,1720,12,0,Quarter-final,2022,43,40
USA,CONCACAF,11,1775,11,0,3rd Place,2022,37,37
Senegal,CAF,20,1695,3,0,Quarter-final,2022,12,13
Iran,AFC,21,1690,6,0,Group Stage,2022,14,18
Australia,AFC,24,1670,6,0,Round of 16,2022,14,21
Austria,UEFA,25,1665,7,0,3rd Place,2022,22,30
Ecuador,CONMEBOL,29,1650,4,0,Round of 16,2022,9,14
Egypt,CAF,33,1630,3,0,Group Stage,2018,7,10
Algeria,CAF,37,1610,4,0,Round of 16,2014,8,14
Ivory Coast,CAF,38,1600,3,0,Group Stage,2014,8,10
Canada,CONCACAF,41,1585,2,0,Group Stage,2022,2,4
Norway,UEFA,44,1550,3,0,Group Stage,1998,7,9
Qatar,AFC,45,1540,1,0,Group Stage,2022,1,3
Panama,CONCACAF,46,1535,2,0,Group Stage,2022,3,6
Paraguay,CONMEBOL,50,1520,8,0,Round of 16,2010,30,27
Scotland,UEFA,52,1510,8,0,Group Stage,1998,25,26
Saudi Arabia,AFC,55,1500,7,0,Round of 16,2022,14,21
Uzbekistan,AFC,56,1495,0,0,Never,0,0,0
South Africa,CAF,59,1480,3,0,Group Stage,2010,8,10
Cape Verde,CAF,62,1470,0,0,Never,0,0,0
Ghana,CAF,64,1460,4,0,Quarter-final,2022,12,16
Jordan,AFC,68,1430,0,0,Never,0,0,0
New Zealand,OFC,93,1290,2,0,Group Stage,2010,4,6
Haiti,CONCACAF,88,1320,1,0,Group Stage,1974,2,3
Curaçao,CONCACAF,85,1330,0,0,Never,0,0,0
